,age_range,self_defined_ethnicity,gender,location,officer_defined_ethnicity,object_of_search
0,10-17,Other ethnic group - Not stated,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Asian,Controlled drugs
1,over 34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Stolen goods
2,10-17,White - English/Welsh/Scottish/Northern Irish/British,,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
3,10-17,White - English/Welsh/Scottish/Northern Irish/British,,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
4,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
5,18-24,Asian/Asian British - Pakistani,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Other,Controlled drugs
6,10-17,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Controlled drugs
7,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Stolen goods
8,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Stolen goods
9,18-24,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
10,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Stolen goods
11,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Stolen goods
12,25-34,Asian/Asian British - Any other Asian background,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Other,Controlled drugs
13,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
14,25-34,Black/African/Caribbean/Black British - African,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Controlled drugs
15,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Anything to threaten or harm anyone
16,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
17,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Stolen goods
18,18-24,Asian/Asian British - Pakistani,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",Asian,Controlled drugs
19,10-17,White - English/Welsh/Scottish/Northern Irish/British,Female,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
20,10-17,Mixed/Multiple ethnic groups - White and Asian,Male,"{'latitude': '53.475247', 'street': {'id': 1489832, 'name': 'Manchester Oxford Road (Station)'}, 'longitude': '-2.240074'}",Asian,Controlled drugs
21,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
22,18-24,Other ethnic group - Not stated,,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
23,18-24,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",White,Controlled drugs
24,25-34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Controlled drugs
25,25-34,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Asian,Controlled drugs
26,10-17,Other ethnic group - Not stated,Male,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}",Black,Controlled drugs
27,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}",White,Anything to threaten or harm anyone
