,age_range,self_defined_ethnicity,gender,officer_defined_ethnicity,object_of_search
0,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
1,18-24,Other ethnic group - Not stated,Male,Asian,Controlled drugs
2,25-34,Other ethnic group - Not stated,Male,Black,Controlled drugs
3,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,
4,over 34,Asian/Asian British - Any other Asian background,Male,Asian,
5,over 34,Other ethnic group - Not stated,Male,Other,Controlled drugs
6,25-34,Other ethnic group - Not stated,Male,Black,Controlled drugs
7,18-24,White - Any other White background,Male,White,Controlled drugs
8,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
9,over 34,Other ethnic group - Not stated,Male,Black,Controlled drugs
10,25-34,White - Any other White background,Male,White,
11,10-17,White - Any other White background,Male,White,Controlled drugs
12,10-17,Asian/Asian British - Any other Asian background,Male,Asian,Controlled drugs
13,25-34,Asian/Asian British - Indian,Male,Asian,Controlled drugs
14,25-34,Asian/Asian British - Any other Asian background,Male,Asian,Controlled drugs
15,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
16,25-34,Black/African/Caribbean/Black British - African,Male,Black,Article for use in theft
17,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Stolen goods
18,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Stolen goods
19,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
20,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
21,over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,White,
22,10-17,Black/African/Caribbean/Black British - Caribbean,Male,Black,Offensive weapons
23,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons
24,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
25,18-24,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Controlled drugs
26,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
27,over 34,Other ethnic group - Not stated,Female,White,Article for use in theft
28,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,
29,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,
30,,Other ethnic group - Not stated,Male,White,Controlled drugs
31,over 34,Other ethnic group - Not stated,Female,White,Article for use in theft
32,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons
33,over 34,Other ethnic group - Not stated,Male,White,Article for use in theft
34,25-34,Other ethnic group - Not stated,Male,White,Article for use in theft
35,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons
36,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
37,25-34,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Firearms
38,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Firearms
39,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons
40,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,Controlled drugs
41,10-17,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Offensive weapons
42,10-17,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Offensive weapons
43,10-17,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Offensive weapons
44,10-17,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Offensive weapons
45,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons
46,,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,White,Controlled drugs
47,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
48,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Articles for use in criminal damage
49,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
50,25-34,Other ethnic group - Not stated,Male,White,Controlled drugs
51,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,
52,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Black,
53,over 34,Asian/Asian British - Pakistani,Male,Asian,Controlled drugs
54,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
55,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,
56,,Other ethnic group - Not stated,,,Controlled drugs
57,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Article for use in theft
0,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
1,over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Controlled drugs
2,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons
3,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons
4,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
5,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
6,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
7,,Black/African/Caribbean/Black British - Caribbean,Male,Black,Controlled drugs
8,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,
9,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,Offensive weapons
10,25-34,Asian/Asian British - Indian,Female,Asian,Controlled drugs
11,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,,Offensive weapons
12,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
13,over 34,Asian/Asian British - Any other Asian background,Male,Asian,
14,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,Asian,Controlled drugs
15,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,
16,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
17,10-17,Asian/Asian British - Any other Asian background,Male,Asian,Offensive weapons
18,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
19,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,Asian,Controlled drugs
20,over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Stolen goods
21,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs
22,18-24,Asian/Asian British - Bangladeshi,Male,Asian,Controlled drugs
23,25-34,Other ethnic group - Not stated,Male,White,
24,25-34,White - Any other White background,Male,White,Offensive weapons
25,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,
