country,age_range,self_defined_ethnicity,gender,officer_defined_ethnicity,object_of_search,location
london,18-24,Other ethnic group - Not stated,Male,Black,Controlled drugs,"{'latitude': '51.510100', 'street': {'id': 1488492, 'name': 'Piccadilly Circus (Lu Station)'}, 'longitude': '-0.134052'}"
london,25-34,Other ethnic group - Not stated,Male,White,Offensive weapons,"{'latitude': '51.503381', 'street': {'id': 1490381, 'name': 'Waterloo (Lu Station)'}, 'longitude': '-0.112226'}"
london,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.503381', 'street': {'id': 1490381, 'name': 'Waterloo (Lu Station)'}, 'longitude': '-0.112226'}"
london,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.503381', 'street': {'id': 1490381, 'name': 'Waterloo (Lu Station)'}, 'longitude': '-0.112226'}"
london,over 34,Black/African/Caribbean/Black British - African,Male,Black,Stolen goods,"{'latitude': '51.503381', 'street': {'id': 1490381, 'name': 'Waterloo (Lu Station)'}, 'longitude': '-0.112226'}"
london,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Stolen goods,"{'latitude': '51.503381', 'street': {'id': 1490381, 'name': 'Waterloo (Lu Station)'}, 'longitude': '-0.112226'}"
london,18-24,Mixed/Multiple ethnic groups - White and Black African,Male,Black,Stolen goods,"{'latitude': '51.515685', 'street': {'id': 1489883, 'name': 'Oxford Circus (Lu Station)'}, 'longitude': '-0.141062'}"
london,10-17,Black/African/Caribbean/Black British - Caribbean,Male,Black,Anything to threaten or harm anyone,"{'latitude': '51.506800', 'street': {'id': 1489478, 'name': 'Green Park (Lu Station)'}, 'longitude': '-0.142503'}"
london,,White - Any other White background,Male,White,Stolen goods,"{'latitude': '51.520500', 'street': {'id': 1488694, 'name': 'Goodge Street (Lu Station)'}, 'longitude': '-0.134680'}"
london,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.503381', 'street': {'id': 1490381, 'name': 'Waterloo (Lu Station)'}, 'longitude': '-0.112226'}"
london,10-17,Black/African/Caribbean/Black British - Caribbean,Male,Black,Controlled drugs,"{'latitude': '51.503381', 'street': {'id': 1490381, 'name': 'Waterloo (Lu Station)'}, 'longitude': '-0.112226'}"
london,10-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Other,Controlled drugs,"{'latitude': '51.503381', 'street': {'id': 1490381, 'name': 'Waterloo (Lu Station)'}, 'longitude': '-0.112226'}"
london,25-34,Other ethnic group - Any other ethnic group,,Other,Controlled drugs,"{'latitude': '51.503381', 'street': {'id': 1490381, 'name': 'Waterloo (Lu Station)'}, 'longitude': '-0.112226'}"
london,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Article for use in theft,"{'latitude': '51.506800', 'street': {'id': 1489478, 'name': 'Green Park (Lu Station)'}, 'longitude': '-0.142503'}"
london,18-24,Other ethnic group - Not stated,Male,Black,Anything to threaten or harm anyone,"{'latitude': '51.506800', 'street': {'id': 1489478, 'name': 'Green Park (Lu Station)'}, 'longitude': '-0.142503'}"
london,over 34,Other ethnic group - Not stated,Male,White,Anything to threaten or harm anyone,"{'latitude': '51.503350', 'street': {'id': 1490020, 'name': 'Waterloo  (London) (Station)'}, 'longitude': '-0.111911'}"
london,18-24,Black/African/Caribbean/Black British - Caribbean,Male,Black,Controlled drugs,"{'latitude': '51.503381', 'street': {'id': 1490381, 'name': 'Waterloo (Lu Station)'}, 'longitude': '-0.112226'}"
london,10-17,Other ethnic group - Not stated,Female,White,Controlled drugs,"{'latitude': '51.503381', 'street': {'id': 1490381, 'name': 'Waterloo (Lu Station)'}, 'longitude': '-0.112226'}"
london,18-24,Black/African/Caribbean/Black British - African,Male,Black,Controlled drugs,"{'latitude': '51.503381', 'street': {'id': 1490381, 'name': 'Waterloo (Lu Station)'}, 'longitude': '-0.112226'}"
london,10-17,Other ethnic group - Not stated,Female,Black,Controlled drugs,"{'latitude': '51.503381', 'street': {'id': 1490381, 'name': 'Waterloo (Lu Station)'}, 'longitude': '-0.112226'}"
london,over 34,Other ethnic group - Not stated,Male,Black,Offensive weapons,"{'latitude': '51.503381', 'street': {'id': 1490381, 'name': 'Waterloo (Lu Station)'}, 'longitude': '-0.112226'}"
london,18-24,Other ethnic group - Not stated,Male,Black,Stolen goods,"{'latitude': '51.503381', 'street': {'id': 1490381, 'name': 'Waterloo (Lu Station)'}, 'longitude': '-0.112226'}"
london,,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,White,Controlled drugs,"{'latitude': '51.501400', 'street': {'id': 1488666, 'name': 'Westminster (Lu Station)'}, 'longitude': '-0.124915'}"
london,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Stolen goods,"{'latitude': '51.515685', 'street': {'id': 1489883, 'name': 'Oxford Circus (Lu Station)'}, 'longitude': '-0.141062'}"
london,18-24,White - Irish,Male,White,Article for use in theft,"{'latitude': '51.515685', 'street': {'id': 1489883, 'name': 'Oxford Circus (Lu Station)'}, 'longitude': '-0.141062'}"
london,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.520500', 'street': {'id': 1488694, 'name': 'Goodge Street (Lu Station)'}, 'longitude': '-0.134680'}"
