country,age_range,self_defined_ethnicity,gender,officer_defined_ethnicity,object_of_search,location
Birmingham,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,,Evidence of offences under the Act,"{'latitude': '52.477800', 'street': {'id': 1488803, 'name': 'Grand Central (Tram Stop)'}, 'longitude': '-1.898950'}"
Birmingham,18-24,Asian/Asian British - Pakistani,Male,Asian,Controlled drugs,"{'latitude': '52.488400', 'street': {'id': 1488812, 'name': 'Duddeston (Station)'}, 'longitude': '-1.871480'}"
Birmingham,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Stolen goods,"{'latitude': '52.481994', 'street': {'id': 1489621, 'name': 'Bull Street (Tram Stop)'}, 'longitude': '-1.896485'}"
Birmingham,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '52.477800', 'street': {'id': 1488803, 'name': 'Grand Central (Tram Stop)'}, 'longitude': '-1.898950'}"
Birmingham,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Anything to threaten or harm anyone,"{'latitude': '52.478321', 'street': {'id': 1490260, 'name': 'Birmingham New Street (Station)'}, 'longitude': '-1.898042'}"
Birmingham,18-24,Other ethnic group - Any other ethnic group,Male,White,Controlled drugs,"{'latitude': '52.477800', 'street': {'id': 1488803, 'name': 'Grand Central (Tram Stop)'}, 'longitude': '-1.898950'}"
Birmingham,18-24,White - Any other White background,Female,White,Article for use in theft,"{'latitude': '52.477800', 'street': {'id': 1488803, 'name': 'Grand Central (Tram Stop)'}, 'longitude': '-1.898950'}"
Birmingham,18-24,Asian/Asian British - Indian,Male,Asian,Controlled drugs,"{'latitude': '52.477800', 'street': {'id': 1488803, 'name': 'Grand Central (Tram Stop)'}, 'longitude': '-1.898950'}"
Birmingham,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '52.477800', 'street': {'id': 1488803, 'name': 'Grand Central (Tram Stop)'}, 'longitude': '-1.898950'}"
Birmingham,10-17,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,Black,Offensive weapons,"{'latitude': '52.477800', 'street': {'id': 1488803, 'name': 'Grand Central (Tram Stop)'}, 'longitude': '-1.898950'}"
Birmingham,18-24,Other ethnic group - Not stated,Female,Black,Controlled drugs,"{'latitude': '52.477800', 'street': {'id': 1488803, 'name': 'Grand Central (Tram Stop)'}, 'longitude': '-1.898950'}"
Birmingham,25-34,Other ethnic group - Not stated,Male,Asian,Controlled drugs,"{'latitude': '52.477800', 'street': {'id': 1488803, 'name': 'Grand Central (Tram Stop)'}, 'longitude': '-1.898950'}"
Birmingham,over 34,Other ethnic group - Not stated,Male,Black,Controlled drugs,"{'latitude': '52.477800', 'street': {'id': 1488803, 'name': 'Grand Central (Tram Stop)'}, 'longitude': '-1.898950'}"
Birmingham,18-24,Black/African/Caribbean/Black British - Caribbean,Male,Black,Stolen goods,"{'latitude': '52.477800', 'street': {'id': 1488803, 'name': 'Grand Central (Tram Stop)'}, 'longitude': '-1.898950'}"
Birmingham,18-24,Black/African/Caribbean/Black British - African,Male,Black,Stolen goods,"{'latitude': '52.477800', 'street': {'id': 1488803, 'name': 'Grand Central (Tram Stop)'}, 'longitude': '-1.898950'}"
Birmingham,25-34,Black/African/Caribbean/Black British - African,Male,Black,Controlled drugs,"{'latitude': '52.477800', 'street': {'id': 1488803, 'name': 'Grand Central (Tram Stop)'}, 'longitude': '-1.898950'}"
Birmingham,25-34,Asian/Asian British - Pakistani,Male,Asian,Controlled drugs,"{'latitude': '52.482993', 'street': {'id': 1489594, 'name': 'Birmingham Snow Hill (Station)'}, 'longitude': '-1.897911'}"
Birmingham,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '52.477800', 'street': {'id': 1488803, 'name': 'Grand Central (Tram Stop)'}, 'longitude': '-1.898950'}"
Birmingham,,Asian/Asian British - Indian,,Asian,Article for use in theft,"{'latitude': '52.480049', 'street': {'id': 1255987, 'name': 'On or near New Meeting Street'}, 'longitude': '-1.893280'}"
