country,age_range,self_defined_ethnicity,gender,officer_defined_ethnicity,object_of_search,location
manchester,10-17,Other ethnic group - Not stated,Male,Asian,Controlled drugs,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}"
manchester,over 34,Other ethnic group - Not stated,Male,White,Stolen goods,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,10-17,White - English/Welsh/Scottish/Northern Irish/British,,White,Controlled drugs,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,10-17,White - English/Welsh/Scottish/Northern Irish/British,,White,Controlled drugs,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,18-24,Asian/Asian British - Pakistani,Male,Other,Controlled drugs,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,10-17,Other ethnic group - Not stated,Male,Black,Controlled drugs,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Stolen goods,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Stolen goods,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,18-24,Other ethnic group - Not stated,Male,White,Controlled drugs,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Stolen goods,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Stolen goods,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,25-34,Asian/Asian British - Any other Asian background,Male,Other,Controlled drugs,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,25-34,Black/African/Caribbean/Black British - African,Male,Black,Controlled drugs,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Anything to threaten or harm anyone,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}"
manchester,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,White,Controlled drugs,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Stolen goods,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}"
manchester,18-24,Asian/Asian British - Pakistani,Male,Asian,Controlled drugs,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}"
manchester,10-17,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Controlled drugs,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,10-17,Mixed/Multiple ethnic groups - White and Asian,Male,Asian,Controlled drugs,"{'latitude': '53.475247', 'street': {'id': 1489832, 'name': 'Manchester Oxford Road (Station)'}, 'longitude': '-2.240074'}"
manchester,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,18-24,Other ethnic group - Not stated,,White,Controlled drugs,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,18-24,Other ethnic group - Not stated,Male,White,Controlled drugs,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,25-34,Other ethnic group - Not stated,Male,Black,Controlled drugs,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,25-34,Other ethnic group - Not stated,Male,Asian,Controlled drugs,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,10-17,Other ethnic group - Not stated,Male,Black,Controlled drugs,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Anything to threaten or harm anyone,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}"
manchester,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Stolen goods,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}"
manchester,10-17,Other ethnic group - Not stated,Female,White,Anything to threaten or harm anyone,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,,Other ethnic group - Not stated,Male,White,Controlled drugs,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}"
manchester,10-17,Other ethnic group - Not stated,Male,White,Controlled drugs,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}"
manchester,18-24,White - Irish,Male,Asian,Controlled drugs,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}"
manchester,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,over 34,Other ethnic group - Not stated,Male,Black,Evidence of offences under the Act,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}"
manchester,25-34,White - Any other White background,Male,White,Controlled drugs,"{'latitude': '53.472000', 'street': {'id': 723355, 'name': 'On or near River Place'}, 'longitude': '-2.250044'}"
manchester,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Female,Black,Controlled drugs,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,over 34,White - Irish,Female,White,Controlled drugs,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,over 34,White - Irish,Male,White,Controlled drugs,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,10-17,Asian/Asian British - Pakistani,Male,Asian,Controlled drugs,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}"
manchester,10-17,White - English/Welsh/Scottish/Northern Irish/British,,White,Evidence of offences under the Act,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,25-34,Asian/Asian British - Any other Asian background,Male,,Evidence of offences under the Act,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,18-24,Asian/Asian British - Indian,Male,Black,Controlled drugs,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}"
manchester,10-17,Asian/Asian British - Pakistani,Male,Asian,Controlled drugs,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}"
manchester,25-34,Asian/Asian British - Pakistani,Male,Asian,Controlled drugs,"{'latitude': '53.488565', 'street': {'id': 1489834, 'name': 'Manchester Victoria (Station)'}, 'longitude': '-2.241717'}"
manchester,25-34,Other ethnic group - Not stated,Male,Other,Stolen goods,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
manchester,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '53.477512', 'street': {'id': 1489833, 'name': 'Manchester Piccadilly (Station)'}, 'longitude': '-2.226586'}"
