country,age_range,self_defined_ethnicity,gender,officer_defined_ethnicity,object_of_search,location
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.318600', 'street': {'id': 1488198, 'name': 'Woking (Station)'}, 'longitude': '-0.557111'}"
surrey,over 34,Asian/Asian British - Pakistani,Male,Asian,Controlled drugs,"{'latitude': '51.324810', 'street': {'id': 1153986, 'name': 'On or near Kilrush Terrace'}, 'longitude': '-0.544863'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.319841', 'street': {'id': 1153860, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.561868'}"
surrey,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.320786', 'street': {'id': 1153802, 'name': 'On or near West Street'}, 'longitude': '-0.558279'}"
surrey,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.321290', 'street': {'id': 1153803, 'name': 'On or near Victoria Way'}, 'longitude': '-0.559067'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.321290', 'street': {'id': 1153803, 'name': 'On or near Victoria Way'}, 'longitude': '-0.559067'}"
surrey,,Other ethnic group - Not stated,,,Stolen goods,"{'latitude': '51.304046', 'street': {'id': 1152867, 'name': 'On or near Gloster Road'}, 'longitude': '-0.547657'}"
surrey,18-24,Other ethnic group - Not stated,Male,,Controlled drugs,"{'latitude': '51.307247', 'street': {'id': 1152810, 'name': 'On or near Howards Close'}, 'longitude': '-0.552032'}"
surrey,18-24,White - Any other White background,Male,White,Controlled drugs,"{'latitude': '51.307247', 'street': {'id': 1152810, 'name': 'On or near Howards Close'}, 'longitude': '-0.552032'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.319841', 'street': {'id': 1153860, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.561868'}"
surrey,18-24,Other ethnic group - Not stated,Male,Black,Controlled drugs,"{'latitude': '51.321290', 'street': {'id': 1153803, 'name': 'On or near Victoria Way'}, 'longitude': '-0.559067'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.320735', 'street': {'id': 1153804, 'name': 'On or near Victoria Way'}, 'longitude': '-0.560735'}"
surrey,18-24,Other ethnic group - Not stated,Male,Asian,Controlled drugs,"{'latitude': '51.321290', 'street': {'id': 1153803, 'name': 'On or near Victoria Way'}, 'longitude': '-0.559067'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.320735', 'street': {'id': 1153804, 'name': 'On or near Victoria Way'}, 'longitude': '-0.560735'}"
surrey,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Stolen goods,"{'latitude': '51.321290', 'street': {'id': 1153803, 'name': 'On or near Victoria Way'}, 'longitude': '-0.559067'}"
surrey,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.322301', 'street': {'id': 1153814, 'name': 'On or near Victoria Way'}, 'longitude': '-0.555749'}"
surrey,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Stolen goods,"{'latitude': '51.319841', 'street': {'id': 1153860, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.561868'}"
